Compound_ID,SMILES
ZINC000670379027_1,c1cc(ccc1C(=O)NCC(=O)NC[C@@H](Cc2ccncc2Cl)CO)C(F)(F)F
ZINC001177274115_1,Cc1c(nc(s1)C)CC(=O)NC[C@@H]2C[C@@]3(CN(CCOC3)C(=O)OC(C)(C)C)OC2
ZINC000273502321_1,Cc1ccc(c(c1)C(=O)NCc2nnc(n2C3CC3)C)N(=O)=O
ZINC000460828790_1,CCN1CCN(C(=O)C1=O)CCc2nc(on2)c3c(cc(s3)NC(=O)c4ccco4)C
ZINC001782844495_1,C[C@H](Cc1ccncc1)C(=O)N2CCO[C@]3(C2)CCN(C3)C(=O)[C@@H]4Cc5ccccc5N4
ZINC001800105679_1,Cc1cccc(c1)CC(=O)N2C[C@@H]3COC[C@H](C2)[C@@H]3NC(=O)c4cnn5c4c(ccc5)C
ZINC000522243659_1,CCn1cc(cn1)CN(C)C(=O)c2cc(=O)[nH]c3c2cc(cc3)S(=O)(=O)N(CC)CC
ZINC000015536727_1,C[NH+](C)[C@@H](CNC(=O)c1cc(ccc1Cl)S(=O)(=O)N2CCOCC2)c3cccs3
ZINC000761626661_1,Cc1cc(ccc1n2cnnn2)NC(=O)N3CCO[C@H](C3)[C@H](C)NC(=O)OC(C)(C)C
ZINC000746672537_1,C[C@@H]1C[C@H](C(=O)N1c2cnn(c2)C)NS(=O)(=O)c3ccc4c(c3)sc(n4)Cl
ZINC000505831979_1,CC(C)(C)c1ccc(cc1)[C@@H](C#N)NC(=O)c2cccc(c2)Cn3ccnc3
ZINC000456217930_1,CC[C@H]([C@@H](C)O)NC(=O)C(C)(C)c1ccc(cc1F)N(=O)=O
ZINC000437364014_1,Cn1ccnc1COc2ccc(cc2)NC(=O)C(=O)Nc3ccc4c(c3)C(=O)N(CC4)C
ZINC000172192615_1,Cc1cc(ccc1N(=O)=O)S(=O)(=O)Nc2nc(cs2)C
ZINC001812722633_1,c1cc(cnc1)[C@H]2[C@H](CCN2C(=O)c3ccn(=O)cc3)CNC(=O)C(Cl)(Cl)Cl
ZINC000461110776_1,COC(=O)c1cc(cc(c1)NC(=O)N[C@H]2CC(=O)N(C2)c3ccccc3F)C(=O)OC
